code,year,value,country
BRA,1990,65.862,Brazil
BRA,1991,66.203,Brazil
BRA,1992,66.539,Brazil
BRA,1993,66.892,Brazil
BRA,1994,67.293,Brazil
BRA,1995,67.701,Brazil
BRA,1996,68.108,Brazil
BRA,1997,68.505,Brazil
BRA,1998,68.848,Brazil
BRA,1999,69.211,Brazil
BRA,2000,69.584,Brazil
BRA,2001,69.98,Brazil
BRA,2002,70.396,Brazil
BRA,2003,70.884,Brazil
BRA,2004,71.361,Brazil
BRA,2005,71.832,Brazil
BRA,2006,72.296,Brazil
BRA,2007,72.73,Brazil
BRA,2008,73.111,Brazil
BRA,2009,73.457,Brazil
BRA,2010,73.779,Brazil
BRA,2011,74.047,Brazil
BRA,2012,74.335,Brazil
BRA,2013,74.609,Brazil
BRA,2014,74.823,Brazil
BRA,2015,75.106,Brazil
BRA,2016,75.081,Brazil
BRA,2017,75.383,Brazil
BRA,2018,75.633,Brazil
BRA,2019,75.809,Brazil
BRA,2020,74.506,Brazil
CHN,1990,68.155,China
CHN,1991,68.61,China
CHN,1992,69.059,China
CHN,1993,69.492,China
CHN,1994,69.835,China
CHN,1995,70.363,China
CHN,1996,70.823,China
CHN,1997,71.227,China
CHN,1998,71.601,China
CHN,1999,71.952,China
CHN,2000,72.288,China
CHN,2001,72.675,China
CHN,2002,73.034,China
CHN,2003,73.385,China
CHN,2004,73.727,China
CHN,2005,74.085,China
CHN,2006,74.404,China
CHN,2007,74.789,China
CHN,2008,74.833,China
CHN,2009,75.317,China
CHN,2010,75.668,China
CHN,2011,75.889,China
CHN,2012,76.2,China
CHN,2013,76.452,China
CHN,2014,76.714,China
CHN,2015,76.975,China
CHN,2016,77.214,China
CHN,2017,77.235,China
CHN,2018,77.709,China
CHN,2019,77.94,China
CHN,2020,78.019,China
JPN,1990,78.8370731707317,Japan
JPN,1991,79.0368292682927,Japan
JPN,1992,79.080243902439,Japan
JPN,1993,79.3036585365854,Japan
JPN,1994,79.6968292682927,Japan
JPN,1995,79.5360975609756,Japan
JPN,1996,80.219756097561,Japan
JPN,1997,80.4241463414634,Japan
JPN,1998,80.5014634146342,Japan
JPN,1999,80.4609756097561,Japan
JPN,2000,81.0760975609756,Japan
JPN,2001,81.4163414634146,Japan
JPN,2002,81.6907317073171,Japan
JPN,2003,81.76,Japan
JPN,2004,82.030243902439,Japan
JPN,2005,81.9551219512195,Japan
JPN,2006,82.3219512195122,Japan
JPN,2007,82.5070731707317,Japan
JPN,2008,82.5875609756098,Japan
JPN,2009,82.9314634146342,Japan
JPN,2010,82.8426829268293,Japan
JPN,2011,82.5912195121951,Japan
JPN,2012,83.0960975609756,Japan
JPN,2013,83.3319512195122,Japan
JPN,2014,83.5878048780488,Japan
JPN,2015,83.7939024390244,Japan
JPN,2016,83.9848780487805,Japan
JPN,2017,84.099756097561,Japan
JPN,2018,84.2109756097561,Japan
JPN,2019,84.3563414634146,Japan
JPN,2020,84.56,Japan
KOR,1990,71.5975609756098,South Korea
KOR,1991,72.0463414634146,South Korea
KOR,1992,72.4975609756098,South Korea
KOR,1993,72.9975609756098,South Korea
KOR,1994,73.3975609756098,South Korea
KOR,1995,73.7,South Korea
KOR,1996,74.1512195121951,South Korea
KOR,1997,74.6024390243903,South Korea
KOR,1998,75.0048780487805,South Korea
KOR,1999,75.409756097561,South Korea
KOR,2000,75.909756097561,South Korea
KOR,2001,76.4121951219512,South Korea
KOR,2002,76.7658536585366,South Korea
KOR,2003,77.2146341463415,South Korea
KOR,2004,77.6658536585366,South Korea
KOR,2005,78.1682926829268,South Korea
KOR,2006,78.6682926829268,South Korea
KOR,2007,79.119512195122,South Korea
KOR,2008,79.5170731707317,South Korea
KOR,2009,79.9682926829268,South Korea
KOR,2010,80.1170731707317,South Korea
KOR,2011,80.5682926829269,South Korea
KOR,2012,80.819512195122,South Korea
KOR,2013,81.2707317073171,South Korea
KOR,2014,81.7219512195122,South Korea
KOR,2015,82.0243902439024,South Korea
KOR,2016,82.2756097560976,South Korea
KOR,2017,82.6268292682927,South Korea
KOR,2018,82.6268292682927,South Korea
KOR,2019,83.2268292682927,South Korea
KOR,2020,83.4268292682927,South Korea
USA,1990,75.2146341463415,United States
USA,1991,75.3658536585366,United States
USA,1992,75.6170731707317,United States
USA,1993,75.419512195122,United States
USA,1994,75.619512195122,United States
USA,1995,75.6219512195122,United States
USA,1996,76.0268292682927,United States
USA,1997,76.4292682926829,United States
USA,1998,76.5804878048781,United States
USA,1999,76.5829268292683,United States
USA,2000,76.6365853658537,United States
USA,2001,76.8365853658537,United States
USA,2002,76.9365853658537,United States
USA,2003,77.0365853658537,United States
USA,2004,77.4878048780488,United States
USA,2005,77.4878048780488,United States
USA,2006,77.6878048780488,United States
USA,2007,77.9878048780488,United States
USA,2008,78.0390243902439,United States
USA,2009,78.390243902439,United States
USA,2010,78.5414634146342,United States
USA,2011,78.6414634146341,United States
USA,2012,78.7414634146342,United States
USA,2013,78.7414634146342,United States
USA,2014,78.8414634146341,United States
USA,2015,78.690243902439,United States
USA,2016,78.5390243902439,United States
USA,2017,78.5390243902439,United States
USA,2018,78.6390243902439,United States
USA,2019,78.7878048780488,United States
USA,2020,76.9804878048781,United States
